country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.058964,0.066884,0.335651,0.039274,0.068952,0.019240,0.386896,1992.716645,0.116565,0.022316,0.000000,2019.114703,0.808849
CRI,1,0.053673,0.076439,0.334612,0.042986,0.066171,0.020677,0.436355,1988.441119,0.095298,0.027260,0.000000,2019.245995,0.865478
CRI,1,0.076730,0.080440,0.281310,0.042998,0.080575,0.018919,0.395157,1993.487736,0.125217,0.018620,0.000000,2018.674673,0.812352
CRI,1,0.050727,0.064978,0.339526,0.037892,0.067394,0.019445,0.385626,1989.615432,0.112931,0.026190,0.000000,2019.612304,0.840210
CRI,1,0.053448,0.078325,0.344597,0.048063,0.077130,0.018433,0.270473,1992.090576,0.102168,0.028164,0.000000,2018.167326,0.829775
CRI,1,0.092683,0.081753,0.360597,0.041704,0.075026,0.017184,0.340089,1991.933656,0.128081,0.022367,0.000000,2018.825982,0.791194
CRI,1,0.050579,0.066623,0.310566,0.040112,0.070996,0.019981,0.382549,1990.667734,0.109432,0.025479,0.000000,2019.300661,0.847449
CRI,1,0.048623,0.075924,0.314021,0.042187,0.076150,0.018906,0.349110,1989.041086,0.112914,0.026996,0.000000,2019.204132,0.854833
CRI,1,0.066047,0.080220,0.333230,0.044959,0.072019,0.020365,0.347231,1989.079308,0.109662,0.025964,0.000000,2019.303473,0.751757
CRI,1,0.047829,0.068493,0.320291,0.039285,0.073074,0.018565,0.373967,1991.428414,0.116578,0.024484,0.000000,2019.107366,0.867076
CRI,1,0.055660,0.066217,0.278318,0.038849,0.050924,0.019418,0.345708,1995.135390,0.114122,0.029597,0.000000,2020.151548,0.909558
CRI,1,0.045109,0.068764,0.299144,0.039819,0.060404,0.019272,0.354897,1993.163972,0.114254,0.027521,0.000000,2019.703213,0.872210
CRI,1,0.046965,0.070488,0.321587,0.045734,0.069970,0.019090,0.347866,1990.962829,0.109244,0.028253,0.000000,2019.226129,0.826898
CRI,1,0.053837,0.065493,0.302301,0.039648,0.074940,0.017442,0.282092,1994.155474,0.139457,0.024215,0.000000,2019.296472,0.804481
CRI,1,0.044565,0.073500,0.326377,0.042130,0.068301,0.019829,0.395017,1989.946669,0.104821,0.026523,0.000000,2019.258629,0.849946
CRI,1,0.048534,0.063343,0.290159,0.034537,0.062824,0.019833,0.474566,1990.346080,0.130667,0.022897,0.000000,2020.466344,0.842812
CRI,1,0.052631,0.065404,0.320913,0.036572,0.068111,0.019316,0.409986,1990.473868,0.133441,0.030217,0.000000,2018.805237,0.772037
CRI,1,0.048877,0.067381,0.318008,0.038271,0.068616,0.019251,0.393183,1990.794276,0.125373,0.028084,0.000000,2019.106498,0.801641
CRI,1,0.056825,0.070721,0.311723,0.033728,0.068767,0.021070,0.362962,1990.746641,0.123548,0.026017,0.000000,2019.874154,0.944018
