country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.039605,0.065612,0.317239,0.050842,0.062186,0.020715,0.356675,1990.382166,0.150412,0.025053,0.164520,2018.990824,0.808978
CRI,1,0.038555,0.069241,0.313690,0.050674,0.061244,0.020934,0.355297,1990.310908,0.146723,0.026558,0.165199,2018.975742,0.783675
CRI,1,0.043574,0.065997,0.308042,0.050322,0.059948,0.022218,0.372359,1989.227856,0.152237,0.026638,0.163348,2018.849861,0.788669
CRI,1,0.038377,0.065076,0.331188,0.049822,0.058858,0.020883,0.351616,1989.766456,0.154101,0.027809,0.164377,2018.881880,0.792039
CRI,1,0.043421,0.065506,0.312334,0.049327,0.058440,0.021193,0.356789,1990.027580,0.147327,0.027749,0.168028,2018.833712,0.840037
CRI,1,0.038746,0.064611,0.311187,0.050391,0.059298,0.020726,0.368574,1989.607143,0.166212,0.028060,0.154594,2018.980521,0.797757
CRI,1,0.042589,0.068731,0.324913,0.052283,0.066087,0.019986,0.362784,1989.094505,0.137722,0.026265,0.159246,2018.892262,0.814094
CRI,1,0.037681,0.066366,0.316279,0.051100,0.062751,0.021140,0.362325,1989.975458,0.151299,0.026459,0.156855,2018.812129,0.812670
CRI,1,0.037979,0.067429,0.328100,0.050311,0.061695,0.019426,0.343123,1990.806121,0.147443,0.027458,0.160126,2018.950755,0.821905
CRI,1,0.040577,0.068270,0.326344,0.051490,0.063823,0.020093,0.356111,1990.150521,0.152376,0.026286,0.154363,2018.986210,0.768458
CRI,1,0.038667,0.065001,0.313970,0.048445,0.056016,0.021324,0.349072,1991.232672,0.165667,0.027773,0.162094,2018.943635,0.785783
CRI,1,0.041814,0.068138,0.325107,0.051893,0.061229,0.021036,0.357011,1990.163054,0.150418,0.024938,0.156086,2019.075801,0.791318
CRI,1,0.036839,0.066130,0.316612,0.049529,0.060248,0.020567,0.354725,1990.295758,0.152869,0.027893,0.162647,2018.858328,0.801700
CRI,1,0.039062,0.065011,0.310998,0.048828,0.056877,0.021448,0.354631,1990.376516,0.151802,0.027837,0.168140,2018.854478,0.834570
CRI,1,0.037326,0.067532,0.318961,0.049123,0.057547,0.020930,0.353729,1990.143895,0.154019,0.029397,0.158384,2018.826994,0.797317
CRI,1,0.035104,0.068602,0.326635,0.051197,0.063019,0.020128,0.355619,1990.110692,0.152979,0.027024,0.153379,2018.959004,0.766576
CRI,1,0.037471,0.070494,0.334598,0.052416,0.066250,0.019491,0.356114,1989.977196,0.153571,0.026610,0.146400,2019.011033,0.734117
CRI,1,0.038972,0.069735,0.329052,0.049746,0.061112,0.020733,0.339819,1990.953510,0.137701,0.026617,0.166625,2018.829191,0.797099
CRI,1,0.035812,0.065845,0.315605,0.050229,0.059748,0.020728,0.361281,1989.947492,0.158614,0.027705,0.157535,2018.942811,0.797593
CRI,1,0.040025,0.069460,0.326479,0.052044,0.065264,0.020052,0.361123,1989.097003,0.137150,0.026903,0.158203,2018.866180,0.811195
CRI,1,0.038796,0.066080,0.317073,0.049325,0.058238,0.021000,0.352066,1990.708349,0.158066,0.027558,0.161114,2018.924304,0.792082
CRI,1,0.037540,0.067205,0.321096,0.050712,0.061369,0.020426,0.358445,1990.029164,0.155773,0.027367,0.155446,2018.950910,0.781974
CRI,1,0.039328,0.067916,0.322595,0.050190,0.061639,0.020540,0.356703,1990.051194,0.151080,0.027027,0.158495,2018.956049,0.782400
CRI,1,0.038991,0.068412,0.324484,0.051049,0.061838,0.020604,0.349711,1990.191575,0.149708,0.026842,0.154386,2018.965745,0.788240
CRI,1,0.037875,0.067650,0.323123,0.051064,0.061780,0.020485,0.358709,1990.251406,0.149008,0.026789,0.157398,2018.935923,0.780956
CRI,1,0.037665,0.068275,0.320777,0.050422,0.061380,0.020356,0.357813,1990.109089,0.152017,0.027226,0.158093,2018.885711,0.785231
CRI,1,0.037602,0.067351,0.321604,0.050358,0.061623,0.020346,0.355172,1990.203320,0.152924,0.027462,0.157959,2018.908738,0.783998
CRI,1,0.039840,0.068064,0.322786,0.050152,0.060241,0.020526,0.354674,1990.127296,0.153498,0.028234,0.155866,2018.893123,0.781839
CRI,2,2.256339,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,3.962930,0.315447,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,3.688668,0.204509,0.690435,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,2.910372,0.204509,0.538972,0.106090,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,2.194674,0.204509,0.538972,0.059197,0.228431,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,1.666180,0.204509,0.538972,0.059197,0.206587,0.063509,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,2.464987,0.204509,0.538972,0.059197,0.206587,0.043884,0.902241,1994.393543,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,2.622182,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,2001.688919,1.055666,0.007707,0.183084,2003.500931,0.639711
CRI,2,2.213419,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.130505,0.007707,0.183084,2003.500931,0.639711
CRI,2,1.841541,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.025227,0.183084,2003.500931,0.639711
CRI,2,1.330369,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.329612,2003.500931,0.639711
CRI,2,2.251588,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2006.756192,0.639711
CRI,2,2.225367,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.183084,2003.500931,1.104168
CRI,2,1.172442,0.120513,0.566984,0.065789,0.211165,0.047189,0.825887,1995.840101,1.071741,0.010923,0.203601,2003.930183,0.705143
CRI,2,1.052255,0.069928,0.580667,0.069277,0.213302,0.048853,0.835247,1996.529655,1.079173,0.012499,0.214469,2004.160863,0.739748
CRI,2,0.732802,0.172691,0.372357,0.067517,0.212245,0.048021,0.830618,1996.187738,1.075506,0.011714,0.208984,2004.044156,0.722288
CRI,2,0.255541,0.158171,0.225724,0.071977,0.214840,0.050103,0.842000,1997.031710,1.084494,0.013663,0.222885,2004.341120,0.766522
CRI,2,0.854395,0.165310,0.490289,0.031919,0.213562,0.049061,0.836388,1996.614235,1.080075,0.012694,0.215856,2004.190471,0.744161
CRI,2,0.684650,0.159344,0.482068,0.057050,0.214629,0.049929,0.841075,1985.725132,1.083767,0.013502,0.221702,2004.315708,0.762762
CRI,2,0.580276,0.152598,0.472458,0.056697,0.215842,0.050942,0.684855,1994.333961,1.087947,0.014436,0.228662,2004.465669,0.784887
CRI,2,0.582012,0.145023,0.461232,0.056289,0.217212,0.052122,0.812381,1994.324018,1.092653,0.015511,0.236968,2004.645927,0.811275
CRI,2,0.444568,0.136588,0.448135,0.055815,0.218751,0.053496,0.813442,1994.312412,1.097918,0.016746,0.246909,2002.137857,0.842830
CRI,2,0.416158,0.127295,0.432882,0.055266,0.220468,0.055093,0.814673,1994.298866,1.103763,0.018158,0.258844,2004.025972,0.443966
CRI,2,0.356069,0.117189,0.415172,0.054631,0.222367,0.056941,0.816102,1994.283053,0.995450,0.019764,0.273216,2004.119592,0.759197
CRI,2,0.276530,0.106376,0.394699,0.053897,0.193871,0.059074,0.817758,1994.264592,1.091985,0.021579,0.290569,2004.231083,0.780643
CRI,2,0.432415,0.095037,0.371179,0.053050,0.219833,0.061519,0.819676,1994.243039,1.097173,0.002310,0.311571,2004.364278,0.806207
CRI,2,0.438110,0.083435,0.344402,0.052076,0.221667,0.041460,0.821893,1994.217871,1.102939,0.020184,0.337015,2004.523970,0.836764
CRI,2,0.720200,0.071916,0.314297,0.050957,0.223683,0.060790,0.824453,1994.188477,1.109293,0.022051,0.189057,2004.716203,0.873391
CRI,2,0.501808,0.210847,0.240309,0.040742,0.220287,0.057913,0.791592,1991.398248,1.096127,0.019417,0.290639,2004.068417,0.781671
CRI,2,0.363547,0.094465,0.278450,0.087997,0.221085,0.059154,0.781897,1990.331636,1.097831,0.020296,0.302707,2004.019591,0.783451
CRI,2,0.899258,0.222342,0.441762,0.064104,0.209548,0.047077,0.788596,1992.459262,1.062773,0.010332,0.361747,2003.462758,0.651624
CRI,2,0.399997,0.095743,0.344639,0.054029,0.220623,0.057435,0.815961,1993.765760,1.099239,0.019319,0.225711,2004.372424,0.813524
CRI,2,0.406238,0.094392,0.260533,0.056922,0.220652,0.059259,0.762723,2000.262771,1.094983,0.020183,0.318296,2003.805249,0.758604
CRI,2,0.366093,0.096779,0.248645,0.057797,0.218881,0.058302,0.788943,1994.719510,1.086682,0.019083,0.314411,2003.406829,0.704293
CRI,2,0.510251,0.085197,0.211168,0.057566,0.220612,0.060636,0.890857,1994.773429,1.091231,0.020810,0.340457,2003.391359,0.715534
CRI,2,0.344467,0.098547,0.265910,0.057348,0.219477,0.058260,0.854248,1994.664277,1.090419,0.019280,0.310181,2003.636987,0.732428
