"pais","iso3","anio","indicador","codigo_indicador","tipo","modelo","valor","unidad","cobertura_institucional","fuente","nota"
"Costa Rica","CRI",2013,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.766,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2014,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.967,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2015,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.871,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2016,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.366,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2017,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.902,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2018,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.249,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2019,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.628,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2020,"Balance primario","GGXONLB_NGDP","Observado",NA,-3.749,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2021,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.277,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2022,"Balance primario","GGXONLB_NGDP","Observado",NA,2.07,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2023,"Balance primario","GGXONLB_NGDP","Observado",NA,1.551,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2024,"Balance primario","GGXONLB_NGDP","Estimación de la fuente",NA,1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2025,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2026,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2027,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2028,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2029,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2030,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2031,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2032,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2033,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Costa Rica","CRI",2034,"Balance primario","GGXONLB_NGDP","Proyección propia","ETS",1.06,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2000,"Balance primario","GGXONLB_NGDP","Observado",NA,0.327,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2001,"Balance primario","GGXONLB_NGDP","Observado",NA,1.128,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2002,"Balance primario","GGXONLB_NGDP","Observado",NA,0.807,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2003,"Balance primario","GGXONLB_NGDP","Observado",NA,0.612,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2004,"Balance primario","GGXONLB_NGDP","Observado",NA,1.366,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2005,"Balance primario","GGXONLB_NGDP","Observado",NA,1.269,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2006,"Balance primario","GGXONLB_NGDP","Observado",NA,1.363,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2007,"Balance primario","GGXONLB_NGDP","Observado",NA,1.022,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2008,"Balance primario","GGXONLB_NGDP","Observado",NA,1.97,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2009,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.991,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2010,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.163,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2011,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.685,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2012,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.878,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2013,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.912,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2014,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.684,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2015,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.166,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2016,"Balance primario","GGXONLB_NGDP","Observado",NA,0.341,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2017,"Balance primario","GGXONLB_NGDP","Observado",NA,2.546,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2018,"Balance primario","GGXONLB_NGDP","Observado",NA,1.536,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2019,"Balance primario","GGXONLB_NGDP","Observado",NA,2.139,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2020,"Balance primario","GGXONLB_NGDP","Observado",NA,0.095,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2021,"Balance primario","GGXONLB_NGDP","Observado",NA,0.587,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2022,"Balance primario","GGXONLB_NGDP","Observado",NA,0.726,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2023,"Balance primario","GGXONLB_NGDP","Observado",NA,1.498,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2024,"Balance primario","GGXONLB_NGDP","Observado",NA,0.199,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"México","MEX",2025,"Balance primario","GGXONLB_NGDP","Proyección propia","Holt amortiguado",0.4639,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
