CVE_ENT,NOM_ENT,ESTIMADOR,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,P_15A49_F,MEDIANA_POBTOT,INDICE_ENV,RAZON_DEP_TOT,RAZON_DEP_INF,RAZON_DEP_VEJ,PROM_HNV,TGF,PCN_P12YM_SOLT,PCN_P12YM_SOLT_F,PCN_P12YM_CUL,PCN_P12YM_CUL_F,PCN_P12YM_SEPA,PCN_P12YM_SEPA_F,PCN_PRESEUA20
14,Jalisco,Límite inferior de confianza,8387043.17,4316248.45,4069587.51,1820493.51,5711684.08,842324.75,2257991.16,31.24,64.29,46.19,31.51,14.35,1.92,1.19,38.40,35.66,48.26,46.82,12.52,16.47,0.28
14,Jalisco,Límite superior de confianza,8880478.83,4571747.55,4309938.49,1939270.49,6059841.92,893849.25,2399784.84,31.72,68.25,47.19,32.36,15.15,1.96,1.27,38.87,36.29,48.89,47.56,12.94,17.07,0.32
14,Jalisco,Coeficiente de variación,1.74,1.75,1.74,1.92,1.8,1.8,1.85,0.46,1.81,0.65,0.81,1.66,0.65,2.05,0.38,0.53,0.40,0.48,1.01,1.09,4.05
15,México,Valor,17561797,9144212,8417585,3472202,12403296,1686273,4886655,32.69,72.45,41.59,27.99,13.60,1.80,1.07,37.44,35.08,48.82,46.65,13.70,18.23,0.08
15,México,Error estándar,198402.46,103076.05,96019.57,38342.42,143909.36,24538.34,55741.12,0.08,0.78,0.17,0.13,0.14,0.01,0.01,0.10,0.11,0.11,0.13,0.08,0.10,0.00
15,México,Límite inferior de confianza,17235442.46,8974660.97,8259641.26,3409131.98,12166577.77,1645909.38,4794965.71,32.56,71.16,41.31,27.78,13.36,1.79,1.05,37.28,34.90,48.64,46.44,13.58,18.07,0.08
15,México,Límite superior de confianza,17888151.54,9313763.03,8575528.74,3535272.02,12640014.23,1726636.62,4978344.29,32.83,73.74,41.87,28.21,13.83,1.81,1.10,37.61,35.27,49.01,46.86,13.83,18.40,0.09
15,México,Coeficiente de variación,1.13,1.13,1.14,1.1,1.16,1.46,1.14,0.25,1.08,0.41,0.48,1.03,0.30,1.33,0.27,0.32,0.23,0.28,0.56,0.56,4.77
16,Michoacán de Ocampo,Valor,4868274,2548100,2320174,1148866,3180505,538834,1287807,31.07,65.75,53.06,36.12,16.94,2.17,1.40,34.48,31.92,52.18,50.26,13.27,17.75,0.50
16,Michoacán de Ocampo,Error estándar,73671.95,39501.18,34495.09,14141,50237.91,14577.32,20163.81,0.17,1.48,0.34,0.33,0.33,0.01,0.03,0.18,0.21,0.21,0.24,0.11,0.15,0.02
16,Michoacán de Ocampo,Límite inferior de confianza,4747091.43,2483124.71,2263433.21,1125605.47,3097868.9,514855.68,1254639.6,30.79,63.31,52.51,35.59,16.39,2.15,1.36,34.19,31.58,51.84,49.87,13.09,17.51,0.47
16,Michoacán de Ocampo,Límite superior de confianza,4989456.57,2613075.29,2376914.79,1172126.53,3263141.1,562812.32,1320974.4,31.35,68.18,53.62,36.66,17.49,2.19,1.45,34.77,32.26,52.51,50.65,13.46,17.99,0.52
16,Michoacán de Ocampo,Coeficiente de variación,1.51,1.55,1.49,1.23,1.58,2.71,1.57,0.55,2.25,0.64,0.90,1.97,0.58,1.95,0.51,0.65,0.39,0.47,0.85,0.83,3.14
17,Morelos,Valor,1987247,1041823,945424,396220,1345687,245336,522633,34.11,87.87,47.67,29.44,18.23,1.93,1.13,35.54,32.58,48.98,46.80,15.34,20.49,0.30
17,Morelos,Error estándar,51521.37,27572,24031.3,8783.67,36821.82,6573.63,14183.74,0.14,1.28,0.35,0.30,0.21,0.01,0.03,0.17,0.22,0.17,0.20,0.13,0.18,0.01
17,Morelos,Límite inferior de confianza,1902494.29,996466.98,905892.45,381770.66,1285115,234522.14,499300.59,33.88,85.75,47.09,28.95,17.89,1.91,1.09,35.27,32.22,48.70,46.47,15.13,20.20,0.28
17,Morelos,Límite superior de confianza,2071999.71,1087179.02,984955.55,410669.34,1406259,256149.86,545965.41,34.34,89.98,48.26,29.93,18.57,1.95,1.17,35.82,32.94,49.27,47.13,15.56,20.79,0.32
17,Morelos,Coeficiente de variación,2.59,2.65,2.54,2.22,2.74,2.68,2.71,0.41,1.46,0.74,1.01,1.13,0.55,2.33,0.47,0.67,0.35,0.43,0.87,0.87,4.59
18,Nayarit,Valor,1289318,658699,630619,290328,852097,137718,335997,31.62,67.63,50.23,34.07,16.16,2.09,1.41,35.09,31.98,50.85,49.61,13.67,18.02,0.52
18,Nayarit,Error estándar,21478.81,11202.59,10507.8,5085.67,15098.31,3037.15,6265.07,0.17,1.54,0.47,0.31,0.37,0.01,0.04,0.22,0.27,0.26,0.31,0.19,0.26,0.03
18,Nayarit,Límite inferior de confianza,1253985.67,640270.88,613333.82,281962.01,827260.39,132721.76,325690.93,31.34,65.10,49.47,33.56,15.55,2.07,1.35,34.74,31.54,50.42,49.10,13.36,17.61,0.48
18,Nayarit,Límite superior de confianza,1324650.33,677127.12,647904.18,298693.99,876933.61,142714.24,346303.07,31.90,70.16,51.00,34.59,16.77,2.11,1.48,35.45,32.42,51.27,50.12,13.99,18.45,0.57
18,Nayarit,Coeficiente de variación,1.67,1.7,1.67,1.75,1.77,2.21,1.86,0.54,2.28,0.93,0.92,2.30,0.61,2.72,0.61,0.84,0.51,0.62,1.41,1.42,5.18
19,Nuevo León,Valor,6274840,3168846,3105994,1300595,4411657,562045,1700096,31.61,64.32,42.22,29.48,12.74,1.71,1.24,35.33,32.55,52.31,51.40,12.17,15.86,0.15
19,Nuevo León,Error estándar,101357.86,52055.94,49922.12,22587.53,75629.77,11561.43,30737.18,0.13,1.41,0.36,0.27,0.27,0.01,0.03,0.16,0.19,0.18,0.21,0.14,0.18,0.01
19,Nuevo León,Límite inferior de confianza,6108113.18,3083217.27,3023875.4,1263439.29,4287250.73,543026.86,1649534.78,31.40,62.00,41.63,29.03,12.29,1.69,1.19,35.07,32.23,52.01,51.05,11.94,15.56,0.13
19,Nuevo León,Límite superior de confianza,6441566.82,3254474.73,3188112.6,1337750.71,4536063.27,581063.14,1750657.22,31.82,66.64,42.81,29.93,13.19,1.73,1.29,35.60,32.87,52.61,51.74,12.39,16.16,0.17
19,Nuevo León,Coeficiente de variación,1.62,1.64,1.61,1.74,1.71,2.06,1.81,0.40,2.19,0.84,0.93,2.14,0.62,2.26,0.45,0.59,0.35,0.41,1.13,1.15,7.88
20,Oaxaca,Valor,4150277,2201096,1949181,991623,2681689,475923,1098777,31.78,67.20,54.72,36.98,17.75,2.26,1.39,34.34,32.01,52.48,50.10,12.92,17.64,0.46
20,Oaxaca,Error estándar,29276.23,15576.8,13797.72,7098.97,19588.81,3612.85,8031.57,0.06,0.38,0.16,0.13,0.09,0.01,0.01,0.08,0.09,0.09,0.10,0.05,0.07,0.01
20,Oaxaca,Límite inferior de confianza,4102121.27,2175474.1,1926485.47,979946.06,2649467.85,469980.29,1085566.05,31.68,66.58,54.46,36.77,17.59,2.25,1.38,34.22,31.85,52.33,49.94,12.84,17.52,0.45
20,Oaxaca,Límite superior de confianza,4198432.73,2226717.9,1971876.53,1003299.94,2713910.15,481865.71,1111987.95,31.88,67.82,54.99,37.19,17.90,2.26,1.41,34.47,32.16,52.62,50.26,13.01,17.77,0.48
20,Oaxaca,Coeficiente de variación,0.71,0.71,0.71,0.72,0.73,0.76,0.73,0.19,0.56,0.29,0.35,0.52,0.23,0.82,0.22,0.29,0.17,0.20,0.41,0.42,1.81
21,Puebla,Valor,6835339,3607348,3227991,1599911,4591123,644235,1895081,30.04,57.76,48.88,34.85,14.03,2.05,1.29,36.72,33.97,49.89,47.50,13.36,18.49,0.23
21,Puebla,Error estándar,149061.51,79385.3,70223.46,28309.34,110265.71,16349.2,44294.55,0.15,1.10,0.45,0.37,0.26,0.02,0.03,0.14,0.20,0.18,0.22,0.16,0.20,0.01
21,Puebla,Límite inferior de confianza,6590149.45,3476768.01,3112481.22,1553345.19,4409748.16,617342.27,1822221.32,29.79,55.95,48.15,34.24,13.60,2.03,1.24,36.48,33.65,49.59,47.14,13.10,18.17,0.21
21,Puebla,Límite superior de confianza,7080528.55,3737927.99,3343500.78,1646476.81,4772497.84,671127.73,1967940.68,30.28,59.58,49.61,35.46,14.47,2.08,1.34,36.96,34.30,50.19,47.86,13.62,18.83,0.25
21,Puebla,Coeficiente de variación,2.18,2.2,2.18,1.77,2.4,2.54,2.34,0.50,1.91,0.91,1.06,1.88,0.77,2.23,0.39,0.58,0.37,0.46,1.17,1.09,4.36
22,Querétaro,Valor,2599947,1345901,1254046,532850,1841002,226084,747264,31.55,62.15,41.22,28.94,12.28,1.76,1.06,38.65,36.22,49.42,47.75,11.53,15.58,0.27
22,Querétaro,Error estándar,61979.08,31967.66,30353.43,12749.78,45569.33,7134.08,18385.91,0.20,1.94,0.47,0.37,0.37,0.02,0.04,0.26,0.31,0.32,0.35,0.21,0.29,0.02
22,Querétaro,Límite inferior de confianza,2497986.86,1293311.79,1204112.28,511875.37,1766036.94,214347.43,717017.62,31.23,58.96,40.45,28.33,11.68,1.74,1.00,38.23,35.71,48.90,47.18,11.18,15.10,0.24
