LocID,ISO3,country,year,un_published,un_method,tfr1,tfr1_0_14,tfr1_65p,un_0_14,un_65p,tfr2025,tfr2025_un
68,BOL,Bolivia (Plurinational State of),2040,14.899397,14.885303217127657,13.012144338282665,1.879144549060553,1.1644118784275734,3.7523034279055465,1.1644118784275734,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2045,15.542791,15.524610855574378,12.984320623195726,1.6470232162860308,1.3599607401899365,3.7236181874524017,1.3599607401899365,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2050,16.110162,16.086907010897082,12.862893934106529,1.626423753561423,1.5780971856899035,3.677716204683404,1.5780971856899035,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2055,16.598474999999997,16.5686787872857,12.618038835999883,1.522971194408663,1.8404264673208217,3.623302781582631,1.8404264673208217,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2060,17.007283,16.971448742684654,12.245434082866952,1.3457176574134389,2.126935213721785,3.5633370420602337,2.126935213721785,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2065,17.338469,17.29498465600502,11.753731391308705,1.1395021722540752,2.3993361022529527,3.4997490419888964,2.3993361022529527,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2070,17.590206,17.54061981011022,11.169934356718583,0.9571499247024848,2.6417127421853617,3.4336184157096405,2.6417127421853617,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2075,17.765645,17.709656764356534,10.519746651559478,0.827737382605629,2.8746908555418575,3.3648983011945437,2.8746908555418575,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2080,17.867661000000002,17.807624938058655,9.816910899490232,0.7448004690532171,3.0837289450325986,3.28972819020555,3.0837289450325986,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2085,17.907416,17.842795974500646,9.06716740697482,0.6793992599464465,3.2651880621486336,3.210188742922396,3.2651880621486336,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2090,17.899006,17.82876303170104,8.285006790230906,0.6089888457558424,3.432859838591424,3.131150577705632,3.432859838591424,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2095,17.850427,17.77445114269363,7.491556114536892,0.5325122764844676,3.215837687660307,3.05337661155222,3.5943256913223887,2.06,2.4973
68,BOL,Bolivia (Plurinational State of),2100,17.760564,17.6798042408544,6.70628841719556,0.4603644288340213,2.8118253026710893,2.9743796550007695,3.743747489959413,2.06,2.4973
