RAMO_K,mdp_2026,mdp_2027,dif_nominal,dif_real,var_real_pct,estado,nivel,PP_K,PP_NUM,UR_K,F_K,FN_K,SF_K
09,143.7,42.3,-101.4,-107.2,-71.7,continúa,programa,Q005,,,,,
10,298.7,212.4,-86.3,-98.2,-31.6,continúa,programa,P025,,,,,
14,318.0,232.7,-85.3,-98.0,-29.6,continúa,programa,U100,,,,,
18,907.3,831.4,-75.9,-112.2,-11.9,continúa,programa,P037,,,,,
TVV,328.4,255.0,-73.4,-86.5,-25.3,continúa,programa,058 ,,,,,
18,282.6,211.1,-71.5,-82.8,-28.2,continúa,programa,P039,,,,,
10,379.6,308.2,-71.4,-86.6,-21.9,continúa,programa,F020,,,,,
49,205.6,139.0,-66.5,-74.7,-35.0,continúa,programa,E011,,,,,
15,95.5,30.0,-65.5,-69.3,-69.8,continúa,programa,U003,,,,,
15,151.3,87.8,-63.6,-69.6,-44.2,continúa,programa,P033,,,,,
06,261.6,200.0,-61.6,-72.1,-26.5,continúa,programa,R001,,,,,
15,247.0,185.6,-61.3,-71.2,-27.7,continúa,programa,U001,,,,,
40,10398.5,10337.5,-60.9,-476.9,-4.4,continúa,programa,P002,,,,,
TVV,50.4,0.0,-50.4,-52.4,-100.0,desaparece,programa,031 ,,,,,
13,132.0,81.8,-50.2,-55.5,-40.4,continúa,programa,E037,,,,,
08,3072.0,3022.0,-50.0,-172.9,-5.4,continúa,programa,B006,,,,,
06,425.2,375.3,-49.9,-66.9,-15.1,continúa,programa,P017,,,,,
48,679.6,630.9,-48.6,-75.8,-10.7,continúa,programa,S320,,,,,
06,397.3,349.4,-47.9,-63.8,-15.4,continúa,programa,P019,,,,,
54,856.8,812.0,-44.8,-79.1,-8.9,continúa,programa,U012,,,,,
10,133.7,95.3,-38.3,-43.7,-31.4,continúa,programa,F019,,,,,
18,1850.9,1812.9,-37.9,-112.0,-5.8,continúa,programa,Q013,,,,,
06,561.2,523.9,-37.3,-59.8,-10.2,continúa,programa,P018,,,,,
31,614.9,577.7,-37.2,-61.8,-9.7,continúa,programa,E052,,,,,
04,890.2,853.1,-37.1,-72.7,-7.9,continúa,programa,P010,,,,,
13,77.7,40.6,-37.1,-40.2,-49.7,continúa,programa,F022,,,,,
06,346.8,310.0,-36.8,-50.7,-14.1,continúa,programa,P020,,,,,
19,197.7,161.0,-36.7,-44.6,-21.7,continúa,programa,R009,,,,,
32,35.3,0.0,-35.3,-36.8,-100.0,desaparece,programa,K025,,,,,
11,901.4,866.5,-34.9,-71.0,-7.6,continúa,programa,U312,,,,,
16,55.4,20.9,-34.5,-36.7,-63.7,continúa,programa,P035,,,,,
38,78.7,45.2,-33.5,-36.7,-44.8,continúa,programa,O001,,,,,
36,231.1,197.9,-33.1,-42.4,-17.6,continúa,programa,N005,,,,,
49,292.8,261.1,-31.8,-43.5,-14.3,continúa,programa,E012,,,,,
49,115.2,83.4,-31.7,-36.3,-30.3,continúa,programa,E008,,,,,
10,323.3,291.8,-31.5,-44.4,-13.2,continúa,programa,P024,,,,,
06,1226.6,1195.4,-31.2,-80.3,-6.3,continúa,programa,G005,,,,,
40,108.0,77.2,-30.8,-35.2,-31.3,continúa,programa,P006,,,,,
21,133.2,108.0,-25.2,-30.5,-22.0,continúa,programa,F025,,,,,
19,324.4,300.0,-24.4,-37.4,-11.1,continúa,programa,J008,,,,,
06,169.0,147.0,-21.9,-28.7,-16.3,continúa,programa,G002,,,,,
07,77.8,56.5,-21.4,-24.5,-30.2,continúa,programa,A012,,,,,
05,570.8,550.5,-20.2,-43.1,-7.3,continúa,programa,E005,,,,,
08,2664.1,2644.4,-19.7,-126.2,-4.6,continúa,programa,S053,,,,,
15,27.7,8.8,-18.9,-20.0,-69.4,continúa,programa,O001,,,,,
27,18.8,0.0,-18.8,-19.5,-100.0,desaparece,programa,E051,,,,,
04,290.2,274.2,-16.0,-27.6,-9.1,continúa,programa,E004,,,,,
06,155.5,140.1,-15.4,-21.6,-13.4,continúa,programa,G001,,,,,
06,190.0,174.9,-15.1,-22.7,-11.5,continúa,programa,G003,,,,,
09,18.2,3.4,-14.8,-15.5,-82.0,continúa,programa,O001,,,,,
10,74.8,60.2,-14.7,-17.6,-22.7,continúa,programa,F021,,,,,
15,719.3,704.9,-14.4,-43.2,-5.8,continúa,programa,P034,,,,,
15,23.6,9.6,-13.9,-14.9,-60.6,continúa,programa,L001,,,,,
35,55.0,41.8,-13.3,-15.5,-27.1,continúa,programa,P019,,,,,
10,119.9,107.4,-12.5,-17.3,-13.9,continúa,programa,G010,,,,,
13,259.6,249.2,-10.3,-20.7,-7.7,continúa,programa,E039,,,,,
10,697.5,689.5,-8.0,-35.9,-5.0,continúa,programa,E020,,,,,
01,303.8,296.9,-6.9,-19.1,-6.0,continúa,programa,K027,,,,,
35,37.5,30.8,-6.7,-8.2,-21.0,continúa,programa,E008,,,,,
35,52.9,46.3,-6.6,-8.7,-15.8,continúa,programa,E016,,,,,
35,69.5,63.0,-6.5,-9.3,-12.8,continúa,programa,E015,,,,,
54,6.4,0.0,-6.4,-6.6,-100.0,desaparece,programa,O001,,,,,
11,2047.4,2041.5,-5.9,-87.8,-4.1,continúa,programa,S269,,,,,
06,166.9,161.3,-5.6,-12.3,-7.1,continúa,programa,B002,,,,,
35,58.0,52.5,-5.5,-7.8,-13.0,continúa,programa,E003,,,,,
35,33.6,28.1,-5.5,-6.8,-19.5,continúa,programa,E006,,,,,
