id,concepto,ejercicio,etapa,valor,unidad,documento,ubicacion
cg_prog_27,Gasto programable pagado,2027,proyecto,7311129.3,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_prog_26ap,Gasto programable pagado,2026,aprobado,7015853.1,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_noprog_27,Gasto no programable,2027,proyecto,3203958.4,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_noprog_26ap,Gasto no programable,2026,aprobado,3098974.9,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_cf_27,Costo financiero,2027,proyecto,1574950.2,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_cf_26ap,Costo financiero,2026,aprobado,1572073.3,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_part_27,Participaciones,2027,proyecto,1547607.9,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_adefas_27,Adefas,2027,proyecto,81400.4,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_bal_27,Balance presupuestario,2027,proyecto,-1358558.8,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_bal_26ap,Balance presupuestario,2026,aprobado,-1393770.6,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_prim_27,Superavit economico primario,2027,proyecto,216891.3,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_prim_26ap,Superavit economico primario,2026,aprobado,178802.6,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_rfsp_27,RFSP,2027,proyecto,-1555655.8,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_rfsp_26ap,RFSP,2026,aprobado,-1587349.9,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_shrfsp_27,SHRFSP,2027,proyecto,21665995.8,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_shrfsp_26es,SHRFSP,2026,cierre estimado,20062321.6,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_shrfsp_int_27,SHRFSP interno,2027,proyecto,43.6,pct del PIB,CGPE 2027 (ed. SHCP),Anexo III.2 p. 47
cg_shrfsp_ext_27,SHRFSP externo,2027,proyecto,11.4,pct del PIB,CGPE 2027 (ed. SHCP),Anexo III.2 p. 47
cg_shrfsp_int_26es,SHRFSP interno,2026,cierre estimado,42.5,pct del PIB,CGPE 2027 (ed. SHCP),Anexo III.2 p. 47
