RAMO_K,mdp_2025,mdp_2026,dif_nominal,dif_real,var_real_pct,estado,nivel,NOMBRE_RAMO,NOMBRE_PP,NOMBRE_UR,PP_K,UR_K,F_K,FN_K,SF_K,NOMBRE_FN
11,17424.8,0.0,-17424.8,-18261.1,-100.0,desaparece,programa,11 Educación Pública,021 Investigación Científica y Desarrollo Tecnológico,611 Dirección General de Educación Tecnológica Industrial y de Servicios,E021,,,,,
34,52451.9,35553.4,-16898.5,-19416.2,-35.3,continúa,programa,34 Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,011 I P A B,210 Unidad de Crédito Público y Asuntos Internacionales de Hacienda,D011,,,,,
09,16595.1,0.0,-16595.1,-17391.7,-100.0,desaparece,programa,"09 Infraestructura, Comunicaciones y Transportes","003 Supervisión, regulación, inspección, verificación y servicios administrativos de construcción y conservación de carreteras",652 Centro SICT Zacatecas,G003,,,,,
07,17289.5,1060.4,-16229.1,-17059.0,-94.1,continúa,programa,07 Defensa Nacional,026 Producción de vestuario y equipo militar,113 Dirección General de Fábricas de Vestuario y Equipo,A026,,,,,
GYN,16259.3,188.1,-16071.1,-16851.6,-98.9,continúa,programa,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,018 Subsidios y ayudas,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,018 ,,,,,
GYR,16525.9,1353.7,-15172.2,-15965.5,-92.2,continúa,programa,GYR Instituto Mexicano del Seguro Social,007 Infraestructura para la asistencia y seguridad social,GYR Instituto Mexicano del Seguro Social,007 ,,,,,
20,15000.0,0.0,-15000.0,-15720.0,-100.0,desaparece,programa,20 Bienestar,316 Pensión Mujeres Bienestar,201 Unidad para la Atención de Grupos Prioritarios,U316,,,,,
GYR,13330.4,0.0,-13330.4,-13970.2,-100.0,desaparece,programa,GYR Instituto Mexicano del Seguro Social,012 Proyectos de infraestructura social de asistencia y seguridad social,GYR Instituto Mexicano del Seguro Social,012 ,,,,,
TVV,13130.0,0.0,-13130.0,-13760.2,-100.0,desaparece,programa,TVV CFE Consolidado,044 Proyectos de infraestructura económica de electricidad (Pidiregas),TVV CFE Consolidado,044 ,,,,,
16,13100.2,0.0,-13100.2,-13729.0,-100.0,desaparece,programa,16 Medio Ambiente y Recursos Naturales,018 Provisiones para desarrollo de infraestructura hidráulica,B00 Comisión Nacional del Agua,R018,,,,,
TVV,10521.0,0.0,-10521.0,-11026.0,-100.0,desaparece,programa,TVV CFE Consolidado,"562 Coordinación, operación, mantenimiento y recarga de la Coordinación Corporativa Nuclear",TVV CFE Consolidado,562 ,,,,,
36,10208.9,0.0,-10208.9,-10699.0,-100.0,desaparece,programa,36 Seguridad y Protección Ciudadana,001 Provisiones para infraestructura de seguridad,140 Unidad de Administración y Finanzas,R001,,,,,
GYR,10138.9,0.0,-10138.9,-10625.6,-100.0,desaparece,programa,GYR Instituto Mexicano del Seguro Social,029 Programas de adquisiciones,GYR Instituto Mexicano del Seguro Social,029 ,,,,,
09,10000.0,0.0,-10000.0,-10480.0,-100.0,desaparece,programa,"09 Infraestructura, Comunicaciones y Transportes","026 Provisiones para el desarrollo, modernización y rehabilitación de infraestructura de Comunicaciones y Transportes",211 Dirección General de Conservación de Carreteras,R026,,,,,
09,10000.0,0.0,-10000.0,-10480.0,-100.0,desaparece,programa,"09 Infraestructura, Comunicaciones y Transportes",032 Reconstrucción y Conservación de Carreteras,211 Dirección General de Conservación de Carreteras,K032,,,,,
TVV,9935.1,0.0,-9935.1,-10412.0,-100.0,desaparece,programa,TVV CFE Consolidado,582 Seguridad física en las instalaciones de electricidad,TVV CFE Consolidado,582 ,,,,,
23,9510.4,0.0,-9510.4,-9966.9,-100.0,desaparece,programa,23 Provisiones Salariales y Económicas,001 Situaciones laborales supervenientes,411 Unidad de Política y Control Presupuestario,R001,,,,,
06,9415.1,0.0,-9415.1,-9867.0,-100.0,desaparece,programa,06 Hacienda y Crédito Público,026 Recaudación de las contribuciones federales,E00 Servicio de Administración Tributaria,E026,,,,,
TVV,9116.0,0.0,-9116.0,-9553.6,-100.0,desaparece,programa,TVV CFE Consolidado,029 Programas de adquisiciones,TVV CFE Consolidado,029 ,,,,,
19,8772.7,0.0,-8772.7,-9193.8,-100.0,desaparece,programa,19 Aportaciones a Seguridad Social,021 Pensión Mínima Garantizada IMSS,GYR Instituto Mexicano del Seguro Social,J021,,,,,
16,7864.1,0.0,-7864.1,-8241.6,-100.0,desaparece,programa,16 Medio Ambiente y Recursos Naturales,010 Gestión integral y sustentable del agua,B00 Comisión Nacional del Agua,G010,,,,,
12,7847.9,0.0,-7847.9,-8224.6,-100.0,desaparece,programa,12 Salud,010 Formación y capacitación de recursos humanos para la salud,610 Dirección General de Calidad y Educación en Salud,E010,,,,,
22,10059.8,2314.3,-7745.5,-8228.4,-78.0,continúa,programa,22 Instituto Nacional Electoral,003 Capacitación y educación para el ejercicio democrático de la ciudadanía,300 Juntas Distritales Ejecutivas,R003,,,,,
13,7690.5,0.0,-7690.5,-8059.7,-100.0,desaparece,programa,13 Marina,026 Operación y desarrollo de los cuerpos de seguridad de las Fuerzas Armadas,121 Unidad de Policía Naval,A026,,,,,
GYN,7493.5,0.0,-7493.5,-7853.2,-100.0,desaparece,programa,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,043 Prevención y Control de Enfermedades,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,043 ,,,,,
47,6981.4,0.0,-6981.4,-7316.5,-100.0,desaparece,programa,47 Entidades no Sectorizadas,003 Atención a la salud en Centros y Hospitales Regionales de Alta Especialidad,AYO Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar (IMSS-BIENESTAR),E003,,,,,
23,6154.9,0.0,-6154.9,-6450.3,-100.0,desaparece,programa,23 Provisiones Salariales y Económicas,081 FEIP,411 Unidad de Política y Control Presupuestario,R081,,,,,
20,6150.9,0.0,-6150.9,-6446.2,-100.0,desaparece,programa,20 Bienestar,"002 Promoción y evaluación de la política de desarrollo social y comunitario, la participación y la cohesión social",712 Dirección General de Padrones de Beneficiarios,P002,,,,,
38,6064.7,0.0,-6064.7,-6355.8,-100.0,desaparece,programa,"38 Humanidades, Ciencias, Tecnologías e Innovación","003 Investigación científica, desarrollo e innovación","91W Instituto Potosino de Investigación Científica y Tecnológica, A.C.",E003,,,,,
11,5999.0,0.0,-5999.0,-6287.0,-100.0,desaparece,programa,11 Educación Pública,066 Educación Inicial y Básica Comunitaria,L6W Consejo Nacional de Fomento Educativo,E066,,,,,
