sex,age_grp,inc_tercile,alloc,se,year,method
female,15-29,3,446.23080348719,21.3608412876024,2024,nta_utilization
male,15-29,3,321.793451522748,14.6582765494825,2024,nta_utilization
female,30-44,3,715.881503728419,28.4172867602827,2024,nta_utilization
male,30-44,3,533.299768697821,29.0326144925809,2024,nta_utilization
female,45-59,3,1045.30518937776,41.3275317755951,2024,nta_utilization
male,45-59,3,745.611626823656,33.3472794880813,2024,nta_utilization
female,5-14,3,338.137086655674,17.9334538075167,2024,nta_utilization
male,5-14,3,373.284671973457,21.9951441878995,2024,nta_utilization
female,60-64,3,1474.87032289787,100.528263966563,2024,nta_utilization
male,60-64,3,1259.72673012148,108.809235686111,2024,nta_utilization
female,65-74,3,2112.77129241208,219.032055044647,2024,nta_utilization
male,65-74,3,1305.04439495363,90.1655025307174,2024,nta_utilization
female,75-84,3,2544.75334311992,340.577571088189,2024,nta_utilization
male,75-84,3,1736.73647466752,218.123020783285,2024,nta_utilization
female,85+,3,2309.93758543522,566.190927870112,2024,nta_utilization
male,85+,3,2734.39377577393,839.4785077616,2024,nta_utilization
