year,age,sex,pop
2023,61,M,501997
2023,61,F,558375
2023,62,M,477892
2023,62,F,533039
2023,63,M,453127
2023,63,F,506920
2023,64,M,427904
2023,64,F,480343
2023,65,M,402967
2023,65,F,454211
2023,66,M,379283
2023,66,F,429453
2023,67,M,356756
2023,67,F,405904
2023,68,M,333962
2023,68,F,381776
2023,69,M,309582
2023,69,F,355743
2023,70,M,286037
2023,70,F,330306
2023,71,M,265390
2023,71,F,307671
2023,72,M,247213
2023,72,F,287701
2023,73,M,232179
2023,73,F,271331
2023,74,M,218556
2023,74,F,256639
2023,75,M,204692
2023,75,F,241545
2023,76,M,190779
2023,76,F,226246
2023,77,M,176925
2023,77,F,210922
2023,78,M,163201
2023,78,F,195704
2023,79,M,149208
2023,79,F,180129
2023,80,M,135331
2023,80,F,164573
2023,81,M,122481
2023,81,F,150034
2023,82,M,110276
2023,82,F,136041
2023,83,M,98414
2023,83,F,122258
2023,84,M,87173
2023,84,F,109051
2023,85,M,76708
2023,85,F,96581
2023,86,M,67055
2023,86,F,84899
2023,87,M,58224
2023,87,F,74070
2023,88,M,50240
2023,88,F,64178
2023,89,M,43028
2023,89,F,55121
2023,90,M,36477
2023,90,F,46722
2023,91,M,30542
2023,91,F,38915
2023,92,M,25244
2023,92,F,31909
2023,93,M,20604
2023,93,F,25880
2023,94,M,16583
2023,94,F,20757
2023,95,M,13156
2023,95,F,16385
2023,96,M,10193
2023,96,F,12554
2023,97,M,7677
2023,97,F,9321
2023,98,M,5646
2023,98,F,6773
2023,99,M,4045
2023,99,F,4795
2023,100,M,2834
2023,100,F,3294
2023,101,M,1954
2023,101,F,2201
2023,102,M,1336
2023,102,F,1451
2023,103,M,910
2023,103,F,959
2023,104,M,616
2023,104,F,634
2023,105,M,409
2023,105,F,409
2023,106,M,263
2023,106,F,248
2023,107,M,163
2023,107,F,141
2023,108,M,97
2023,108,F,76
2023,109,M,55
2023,109,F,39
2024,0,M,1031809
2024,0,F,994292
2024,1,M,1038828
2024,1,F,1001211
2024,2,M,1050425
2024,2,F,1011622
2024,3,M,1058985
2024,3,F,1019622
2024,4,M,1060498
2024,4,F,1022497
2024,5,M,1063487
2024,5,F,1025804
2024,6,M,1065468
2024,6,F,1027129
2024,7,M,1072178
2024,7,F,1033269
2024,8,M,1089192
2024,8,F,1049292
2024,9,M,1105067
2024,9,F,1064374
2024,10,M,1114794
2024,10,F,1073820
2024,11,M,1123422
2024,11,F,1082379
2024,12,M,1135394
2024,12,F,1094081
2024,13,M,1148756
2024,13,F,1107026
2024,14,M,1158137
2024,14,F,1116309
2024,15,M,1160619
2024,15,F,1119552
2024,16,M,1155681
2024,16,F,1117449
2024,17,M,1145961
2024,17,F,1112976
2024,18,M,1135716
2024,18,F,1108726
2024,19,M,1128082
2024,19,F,1106284
2024,20,M,1124212
2024,20,F,1106377
2024,21,M,1124853
2024,21,F,1109840
2024,22,M,1128857
2024,22,F,1115855
2024,23,M,1130858
2024,23,F,1119626
2024,24,M,1125100
2024,24,F,1116238
2024,25,M,1110904
2024,25,F,1105124
2024,26,M,1095554
2024,26,F,1092900
2024,27,M,1086410
2024,27,F,1086702
2024,28,M,1083147
2024,28,F,1086546
2024,29,M,1081472
2024,29,F,1088348
2024,30,M,1077533
2024,30,F,1088402
2024,31,M,1069371
2024,31,F,1084975
2024,32,M,1055481
2024,32,F,1076587
2024,33,M,1033966
2024,33,F,1061399
2024,34,M,1006915
2024,34,F,1041459
2024,35,M,980043
2024,35,F,1022166
2024,36,M,954909
2024,36,F,1005483
2024,37,M,929669
2024,37,F,990284
2024,38,M,903253
2024,38,F,975834
2024,39,M,874373
2024,39,F,960711
2024,40,M,842604
2024,40,F,943497
2024,41,M,810673
2024,41,F,925352
2024,42,M,781699
2024,42,F,907597
2024,43,M,758130
2024,43,F,891501
2024,44,M,741083
2024,44,F,878068
2024,45,M,730099
2024,45,F,867330
2024,46,M,724733
2024,46,F,859593
2024,47,M,724076
2024,47,F,854673
2024,48,M,725545
2024,48,F,850540
2024,49,M,724799
2024,49,F,842984
2024,50,M,719428
2024,50,F,829786
2024,51,M,709512
2024,51,F,811734
2024,52,M,695965
2024,52,F,790378
2024,53,M,679838
2024,53,F,767215
2024,54,M,661944
2024,54,F,743049
2024,55,M,643292
2024,55,F,718894
2024,56,M,623938
2024,56,F,695002
2024,57,M,604074
2024,57,F,671472
2024,58,M,584498
2024,58,F,649021
2024,59,M,564762
2024,59,F,627047
2024,60,M,543196
2024,60,F,603552
2024,61,M,519730
2024,61,F,578370
2024,62,M,495656
2024,62,F,552904
2024,63,M,471350
2024,63,F,527341
2024,64,M,446404
2024,64,F,501005
2024,65,M,421021
2024,65,F,474220
2024,66,M,395938
2024,66,F,447882
2024,67,M,372109
2024,67,F,422911
2024,68,M,349441
2024,68,F,399140
2024,69,M,326538
2024,69,F,374816
2024,70,M,302123
2024,70,F,348646
2024,71,M,278568
2024,71,F,323094
2024,72,M,257883
2024,72,F,300319
2024,73,M,239640
2024,73,F,280176
2024,74,M,224478
2024,74,F,263564
2024,75,M,210710
2024,75,F,248600
2024,76,M,196742
2024,76,F,233265
2024,77,M,182766
2024,77,F,217761
2024,78,M,168891
2024,78,F,202269
2024,79,M,155192
2024,79,F,186924
2024,80,M,141299
2024,80,F,171294
2024,81,M,127585
2024,81,F,155750
2024,82,M,114914
2024,82,F,141246
2024,83,M,102926
2024,83,F,127338
2024,84,M,91341
2024,84,F,113719
2024,85,M,80420
2024,85,F,100739
2024,86,M,70305
2024,86,F,88553
2024,87,M,61029
2024,87,F,77207
2024,88,M,52593
2024,88,F,66761
2024,89,M,45014
2024,89,F,57285
2024,90,M,38227
2024,90,F,48725
2024,91,M,32105
2024,91,F,40827
2024,92,M,26613
2024,92,F,33582
2024,93,M,21759
2024,93,F,27164
2024,94,M,17555
2024,94,F,21708
2024,95,M,13955
2024,95,F,17134
2024,96,M,10924
2024,96,F,13293
2024,97,M,8344
2024,97,F,9995
2024,98,M,6189
2024,98,F,7273
2024,99,M,4479
2024,99,F,5170
2024,100,M,3154
2024,100,F,3575
2024,101,M,2168
2024,101,F,2395
2024,102,M,1466
2024,102,F,1557
2024,103,M,981
2024,103,F,996
2024,104,M,654
2024,104,F,638
2024,105,M,432
2024,105,F,408
2024,106,M,280
2024,106,F,254
2024,107,M,175
2024,107,F,148
2024,108,M,105
2024,108,F,81
2024,109,M,60
2024,109,F,41
2025,0,M,1020678
2025,0,F,983516
2025,1,M,1028339
2025,1,F,990991
2025,2,M,1036548
2025,2,F,998877
2025,3,M,1048574
2025,3,F,1009662
2025,4,M,1057387
2025,4,F,1017907
2025,5,M,1059094
2025,5,F,1020976
2025,6,M,1062233
2025,6,F,1024438
2025,7,M,1064341
2025,7,F,1025895
2025,8,M,1071151
2025,8,F,1032134
2025,9,M,1088237
2025,9,F,1048221
2025,10,M,1104168
2025,10,F,1063348
2025,11,M,1113933
2025,11,F,1072818
2025,12,M,1122569
2025,12,F,1081373
2025,13,M,1134489
2025,13,F,1093028
2025,14,M,1147730
2025,14,F,1105830
2025,15,M,1156710
2025,15,F,1114816
2025,16,M,1158472
2025,16,F,1117697
2025,17,M,1152756
2025,17,F,1115187
2025,18,M,1142262
2025,18,F,1110337
2025,19,M,1131301
2025,19,F,1105734
2025,20,M,1123032
2025,20,F,1102996
2025,21,M,1118619
2025,21,F,1102866
2025,22,M,1118809
2025,22,F,1106180
2025,23,M,1122458
2025,23,F,1112119
2025,24,M,1124223
2025,24,F,1115889
2025,25,M,1118376
2025,25,F,1112575
2025,26,M,1104233
2025,26,F,1101595
2025,27,M,1089020
2025,27,F,1089526
2025,28,M,1080036
2025,28,F,1083473
2025,29,M,1076945
2025,29,F,1083442
2025,30,M,1075466
2025,30,F,1085357
2025,31,M,1071756
2025,31,F,1085519
2025,32,M,1063855
2025,32,F,1082195
2025,33,M,1050250
2025,33,F,1073906
2025,34,M,1029043
2025,34,F,1058815
2025,35,M,1002305
2025,35,F,1038967
2025,36,M,975717
2025,36,F,1019745
2025,37,M,950829
2025,37,F,1003109
2025,38,M,925804
2025,38,F,987938
2025,39,M,899577
2025,39,F,973498
2025,40,M,870864
2025,40,F,958372
2025,41,M,839245
2025,41,F,941146
2025,42,M,807437
2025,42,F,922978
2025,43,M,778549
2025,43,F,905188
2025,44,M,755020
2025,44,F,889040
2025,45,M,737965
2025,45,F,875537
2025,46,M,726925
2025,46,F,864706
2025,47,M,721456
2025,47,F,856852
2025,48,M,720649
2025,48,F,851789
2025,49,M,721931
2025,49,F,847490
2025,50,M,720982
2025,50,F,839761
2025,51,M,715404
2025,51,F,826394
2025,52,M,705282
2025,52,F,808176
2025,53,M,691528
2025,53,F,786655
2025,54,M,675191
2025,54,F,763323
2025,55,M,657081
2025,55,F,738982
2025,56,M,638203
2025,56,F,714640
2025,57,M,618614
2025,57,F,690550
2025,58,M,598509
2025,58,F,666809
2025,59,M,578679
2025,59,F,644126
2025,60,M,558681
2025,60,F,621906
2025,61,M,536867
2025,61,F,598166
2025,62,M,513174
2025,62,F,572747
2025,63,M,488885
2025,63,F,547041
2025,64,M,464376
2025,64,F,521238
2025,65,M,439248
2025,65,F,494673
2025,66,M,413708
2025,66,F,467671
2025,67,M,388486
2025,67,F,441121
2025,68,M,364521
2025,68,F,415929
2025,69,M,341720
2025,69,F,391931
2025,70,M,318722
2025,70,F,367409
2025,71,M,294290
2025,71,F,341107
2025,72,M,270747
2025,72,F,315450
2025,73,M,250044
2025,73,F,292542
2025,74,M,231754
2025,74,F,272236
2025,75,M,216485
2025,75,F,255390
2025,76,M,202595
2025,76,F,240163
2025,77,M,188548
2025,77,F,224604
2025,78,M,174537
2025,78,F,208916
2025,79,M,160674
2025,79,F,193283
2025,80,M,147036
2025,80,F,177844
2025,81,M,133281
2025,81,F,162198
2025,82,M,119772
2025,82,F,146712
2025,83,M,107321
2025,83,F,132292
2025,84,M,95593
2025,84,F,118524
2025,85,M,84326
2025,85,F,105128
2025,86,M,73766
2025,86,F,92438
2025,87,M,64042
2025,87,F,80598
2025,88,M,55177
2025,88,F,69651
2025,89,M,47169
2025,89,F,59648
2025,90,M,40036
2025,90,F,50692
2025,91,M,33686
2025,91,F,42627
2025,92,M,28010
2025,92,F,35275
2025,93,M,22971
2025,93,F,28625
2025,94,M,18567
2025,94,F,22817
2025,95,M,14797
2025,95,F,17946
2025,96,M,11608
2025,96,F,13922
2025,97,M,8959
2025,97,F,10601
2025,98,M,6741
2025,98,F,7812
2025,99,M,4920
2025,99,F,5562
2025,100,M,3499
2025,100,F,3862
2025,101,M,2419
2025,101,F,2604
2025,102,M,1631
2025,102,F,1697
2025,103,M,1079
2025,103,F,1072
2025,104,M,707
2025,104,F,665
2025,105,M,460
2025,105,F,412
2025,106,M,296
2025,106,F,254
2025,107,M,187
2025,107,F,152
2025,108,M,114
2025,108,F,85
2025,109,M,66
2025,109,F,44
2026,0,M,1009154
2026,0,F,972412
2026,1,M,1017227
2026,1,F,980283
2026,2,M,1026020
2026,2,F,988678
2026,3,M,1034645
2026,3,F,996923
2026,4,M,1046910
2026,4,F,1007937
2026,5,M,1055903
2026,5,F,1016361
2026,6,M,1057761
2026,6,F,1019581
2026,7,M,1061026
2026,7,F,1023170
2026,8,M,1063239
2026,8,F,1024729
2026,9,M,1070134
2026,9,F,1031042
2026,10,M,1087280
2026,10,F,1047173
2026,11,M,1103254
2026,11,F,1062319
2026,12,M,1113041
2026,12,F,1071785
2026,13,M,1121645
2026,13,F,1080296
2026,14,M,1133460
2026,14,F,1091807
2026,15,M,1146306
2026,15,F,1104309
2026,16,M,1154563
2026,16,F,1112920
2026,17,M,1155527
2026,17,F,1115383
2026,18,M,1149009
2026,18,F,1112489
2026,19,M,1137775
