base,indicator,scenario,period,value,unit
eic2025,tdr_min_year,optimista,,2027.0,year
eic2025,tdr_min,optimista,,46.4,per 100 aged 15-64
eic2025,span_1pt_start,optimista,,2025.0,year
eic2025,span_1pt_end,optimista,,2032.0,year
eic2025,oadr,optimista,2025,14.6453,per 100 aged 15-64
eic2025,tdr,optimista,2025,46.5662,per 100 aged 15-64
eic2025,ydr,optimista,2025,31.921,per 100 aged 15-64
eic2025,oadr,optimista,2035,20.2426,per 100 aged 15-64
eic2025,tdr,optimista,2035,48.28,per 100 aged 15-64
eic2025,ydr,optimista,2035,28.0374,per 100 aged 15-64
eic2025,oadr,optimista,2050,31.5403,per 100 aged 15-64
eic2025,tdr,optimista,2050,58.4066,per 100 aged 15-64
eic2025,ydr,optimista,2050,26.8663,per 100 aged 15-64
eic2025,tau_payg,optimista,2025,11.582751310472133,% of wage bill
eic2025,tau_payg,optimista,2035,16.009573151616095,% of wage bill
eic2025,tau_payg,optimista,2050,24.944757100071982,% of wage bill
eic2025,pop_6_14,optimista,2025,18793673.4737,persons
eic2025,pop_6_14_change_vs_2025,optimista,2025,0.0,%
eic2025,pop_6_14,optimista,2031,15482739.6404,persons
eic2025,pop_6_14_change_vs_2025,optimista,2031,-17.617278697181504,%
eic2025,pop_6_14,optimista,2035,15242982.0265,persons
eic2025,pop_6_14_change_vs_2025,optimista,2035,-18.893014461323187,%
eic2025,pop_6_14,optimista,2050,15208168.6704,persons
eic2025,pop_6_14_change_vs_2025,optimista,2050,-19.07825422378219,%
eic2025,g_l_avg,optimista,2025-2035,0.48679446581390007,% per year
eic2025,g_l_avg,optimista,2035-2050,-0.1987109825436928,% per year
eic2025,g_l_first_negative_year,optimista,,2036.0,year
eic2025_conapo65_sensitivity,tdr_min_year,central,,2030.0,year
eic2025_conapo65_sensitivity,tdr_min,central,,43.758,per 100 aged 15-64
eic2025_conapo65_sensitivity,span_1pt_start,central,,2026.0,year
eic2025_conapo65_sensitivity,span_1pt_end,central,,2035.0,year
eic2025_conapo65_sensitivity,oadr,central,2025,13.0981,per 100 aged 15-64
eic2025_conapo65_sensitivity,tdr,central,2025,45.019,per 100 aged 15-64
eic2025_conapo65_sensitivity,ydr,central,2025,31.921,per 100 aged 15-64
eic2025_conapo65_sensitivity,oadr,central,2035,19.4759,per 100 aged 15-64
eic2025_conapo65_sensitivity,tdr,central,2035,44.3524,per 100 aged 15-64
eic2025_conapo65_sensitivity,ydr,central,2035,24.8765,per 100 aged 15-64
eic2025_conapo65_sensitivity,oadr,central,2050,32.8656,per 100 aged 15-64
eic2025_conapo65_sensitivity,tdr,central,2050,56.7049,per 100 aged 15-64
eic2025_conapo65_sensitivity,ydr,central,2050,23.8392,per 100 aged 15-64
eic2025_conapo65_sensitivity,tau_payg,central,2025,10.359093698298775,% of wage bill
eic2025_conapo65_sensitivity,tau_payg,central,2035,15.403201453546476,% of wage bill
