archivo_origen,CVEENT,entidad,beneficiarios,intervenciones,dependencias,padrones,programas,periodo,periodo_cve,trimestre,anio,fecha,entidad_etiqueta,entidad_etq
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,29,TLAXCALA,262319,3429279.0,7,15,12,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,TLAXCALA,Tlaxcala
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,30,VERACRUZ DE IGNACIO DE LA LLAVE,2898403,12452514.0,8,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,VERACRUZ,Veracruz
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,31,YUCATÁN,817842,3666137.0,8,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,YUCATÁN,Yucatán
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,32,ZACATECAS,780128,5756344.0,8,13,12,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,ZACATECAS,Zacatecas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,99,NO ESPECIFICADO,270,795.0,3,5,3,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,NO ESPECIFICADO,No Especificado
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,1,AGUASCALIENTES,132634,1793421.0,3,7,6,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,AGUASCALIENTES,Aguascalientes
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,2,BAJA CALIFORNIA,281826,1815397.0,5,12,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,BAJA CALIFORNIA,Baja California
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,3,BAJA CALIFORNIA SUR,70023,1096679.0,4,9,7,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,BAJA CALIFORNIA SUR,Baja California Sur
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,4,CAMPECHE,252748,1453784.0,5,11,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,CAMPECHE,Campeche
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,5,COAHUILA DE ZARAGOZA,525389,2600816.0,5,10,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,COAHUILA,Coahuila
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,6,COLIMA,86373,1040765.0,4,9,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,COLIMA,Colima
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,7,CHIAPAS,2720356,9154466.0,6,12,11,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,CHIAPAS,Chiapas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,8,CHIHUAHUA,555204,3620496.0,6,13,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,CHIHUAHUA,Chihuahua
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,9,CIUDAD DE MÉXICO,1916161,34182353.0,5,10,9,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,CIUDAD DE MÉXICO,Ciudad de México
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,10,DURANGO,570590,4662059.0,6,11,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,DURANGO,Durango
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,11,GUANAJUATO,681412,9382597.0,5,11,8,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,GUANAJUATO,Guanajuato
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,12,GUERRERO,780459,8443325.0,6,12,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,GUERRERO,Guerrero
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,13,HIDALGO,1073087,7735703.0,7,13,12,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,HIDALGO,Hidalgo
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,14,JALISCO,937135,13204305.0,6,12,10,Trimestre : Julio - Septiembre 2019 / Corte : 231030,2019T3,Julio-Septiembre,2019,2019-09-30,JALISCO,Jalisco
