archivo_origen,anio,mes,entidad,sexo,modalidad,sector,personas
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Oaxaca,H,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,3695
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,San Luis Potosi,M,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,3677
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Quintana Roo,M,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,3624
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Tamaulipas,M,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,3605
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Michoacan,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3602
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Coahuila,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3581
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Todos Los Seguros Prestaciones y Servicios,Poder Judicial,3525
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Michoacan,M,Servicio Medico del Seguro de Salud y Sar,Gobierno Estatal,3501
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sonora,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3422
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Entidad Desconocida,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3418
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sinaloa,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3408
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sinaloa,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,3395
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Guerrero,M,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,3378
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,H,Servicio Medico del Seguro de Salud y Sar,Gobierno Estatal,3374
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,H,Todos Los Segs. Prest. y Servs. Con Subrog. del Seg.de Salud,Organismo Descentralizado,3358
