anio,cve_geo,entidad,poblacion_total,poblacion_65_mas,edad_escolar_3_14,razon_dependencia
2022,16,Michoacán,4901506,410826,1071817,56.0500
2022,17,Morelos,2017078,186884,387288,48.9200
2022,18,Nayarit,1278605,109966,273189,53.0200
2022,19,Nuevo León,6095498,454728,1180409,46.5800
2022,20,Oaxaca,4244538,377319,947063,57.6700
2022,21,Puebla,6824785,498949,1478311,52.8600
2022,22,Querétaro,2508214,164645,494269,45.2400
2022,23,Quintana Roo,1977161,86603,394249,41.6700
2022,24,San Luis Potosí,2905759,248757,600761,52.1100
2022,25,Sinaloa,3118470,273782,616813,49.6600
2022,26,Sonora,3051188,247315,603299,47.5700
2022,27,Tabasco,2447193,171006,534917,50.8900
2022,28,Tamaulipas,3652671,296928,723686,48.0200
2022,29,Tlaxcala,1395020,97070,295973,50.3600
2022,30,Veracruz,8133233,797072,1597870,50.7700
2022,31,Yucatán,2420401,203447,465222,47.1100
2022,32,Zacatecas,1667567,136470,377734,57.2900
2023,1,Aguascalientes,1510839,105075,322463,50.1500
2023,2,Baja California,4010510,271677,735884,41.2700
2023,3,Baja California Sur,867766,54650,167928,43.2500
2023,4,Campeche,950291,72308,195983,48.4400
2023,5,Coahuila,3316738,252649,687103,49.9200
2023,6,Colima,757405,66152,140660,45.5800
2023,7,Chiapas,5946352,350658,1526738,62.8000
2023,8,Chihuahua,3947936,305606,777886,46.7400
2023,9,Ciudad de México,9221637,1065952,1291703,40.1500
2023,10,Durango,1899457,150692,419082,53.3900
2023,11,Guanajuato,6422483,477200,1343289,50.2000
2023,12,Guerrero,3604215,310190,832435,59.7700
2023,13,Hidalgo,3227801,273695,649009,48.8300
2023,14,Jalisco,8735511,721255,1753138,49.5200
2023,15,Estado de México,17501220,1334021,3337745,44.9100
2023,16,Michoacán,4950601,423242,1071164,55.8000
2023,17,Morelos,2030857,194441,381993,48.6000
2023,18,Nayarit,1294124,114222,271273,52.4600
2023,19,Nuevo León,6202153,478182,1188660,46.5400
2023,20,Oaxaca,4276769,386562,938720,57.0600
2023,21,Puebla,6907421,516845,1476345,52.5300
2023,22,Querétaro,2557915,174285,495549,44.8200
2023,23,Quintana Roo,2019606,92963,398113,41.4400
2023,24,San Luis Potosí,2931052,257096,595742,51.6800
2023,25,Sinaloa,3142699,285307,610215,49.3000
2023,26,Sonora,3081734,260358,594143,47.1000
2023,27,Tabasco,2454787,178498,525696,50.2600
2023,28,Tamaulipas,3685588,310553,713681,47.5000
2023,29,Tlaxcala,1412895,101123,295314,49.9700
2023,30,Veracruz,8131584,822318,1563111,50.3100
2023,31,Yucatán,2452378,211890,463500,46.6200
2023,32,Zacatecas,1683013,140349,376193,56.8200
2024,1,Aguascalientes,1530185,110670,320406,49.6200
2024,2,Baja California,4071872,288378,730464,40.8900
2024,3,Baja California Sur,886050,58165,168366,42.9000
2024,4,Campeche,954659,75463,193304,47.9100
2024,5,Coahuila,3358991,266231,685534,49.7000
2024,6,Colima,762387,69317,137563,45.0300
2024,7,Chiapas,6028154,364382,1536764,62.3700
2024,8,Chihuahua,3996504,322108,768593,46.2200
2024,9,Ciudad de México,9204018,1106976,1247143,40.0700
2024,10,Durango,1913774,157106,414074,52.6700
2024,11,Guanajuato,6481538,496362,1337118,49.7500
2024,12,Guerrero,3606733,317841,822618,59.1200
2024,13,Hidalgo,3264395,284853,639979,48.0500
2024,14,Jalisco,8820915,751066,1740853,49.1500
2024,15,Estado de México,17616018,1403089,3291697,44.6200
2024,16,Michoacán,4998654,436420,1071937,55.5500
2024,17,Morelos,2043884,202358,376987,48.2900
2024,18,Nayarit,1309432,118642,269248,51.9100
2024,19,Nuevo León,6308199,502937,1196877,46.5400
2024,20,Oaxaca,4308543,396507,930626,56.4800
2024,21,Puebla,6989402,535899,1476091,52.2700
2024,22,Querétaro,2606698,184543,496339,44.4200
2024,23,Quintana Roo,2061131,99821,401708,41.1900
2024,24,San Luis Potosí,2955841,265981,591045,51.3100
2024,25,Sinaloa,3165686,297295,603569,48.9500
2024,26,Sonora,3111704,273948,585084,46.6900
2024,27,Tabasco,2461555,186468,515530,49.6400
2024,28,Tamaulipas,3717618,324991,703378,47.0300
2024,29,Tlaxcala,1430497,105506,294849,49.6300
2024,30,Veracruz,8127727,848969,1527537,49.8800
2024,31,Yucatán,2483400,220674,461159,46.1200
2024,32,Zacatecas,1698252,144568,374540,56.3700
2025,1,Aguascalientes,1549118,116567,317995,49.1300
2025,2,Baja California,4131619,306043,724556,40.5700
2025,3,Baja California Sur,904052,61868,168697,42.5700
2025,4,Campeche,958567,78787,190138,47.3800
2025,5,Coahuila,3400257,280479,683081,49.5100
2025,6,Colima,767105,72618,134364,44.5400
2025,7,Chiapas,6107903,378986,1545899,61.9500
2025,8,Chihuahua,4043130,339506,758996,45.7700
2025,9,Ciudad de México,9183658,1149036,1204030,40.0500
2025,10,Durango,1927128,163845,408145,51.9600
2025,11,Guanajuato,6537669,516626,1329528,49.3400
2025,12,Guerrero,3607434,325998,811840,58.5200
2025,13,Hidalgo,3299857,296685,630487,47.3500
2025,14,Jalisco,8903326,782086,1727302,48.8100
2025,15,Estado de México,17723173,1475678,3245215,44.4000
2025,16,Michoacán,5045030,450323,1072029,55.3300
2025,17,Morelos,2056103,210641,371780,48.0300
2025,18,Nayarit,1324282,123222,267041,51.3900
2025,19,Nuevo León,6413123,529046,1204028,46.5700
2025,20,Oaxaca,4339377,407131,923048,55.9800
2025,21,Puebla,7070124,556149,1477260,52.0800
2025,22,Querétaro,2654421,195439,496555,44.0400
2025,23,Quintana Roo,2101638,107189,404579,40.9300
2025,24,San Luis Potosí,2979775,275421,586785,51.0100
2025,25,Sinaloa,3187466,309735,596509,48.6500
2025,26,Sonora,3140762,288030,575952,46.3500
2025,27,Tabasco,2467519,194928,504867,49.0700
2025,28,Tamaulipas,3748419,340258,692475,46.6300
2025,29,Tlaxcala,1447721,110210,294511,49.3600
2025,30,Veracruz,8121275,877048,1491161,49.5100
2025,31,Yucatán,2513461,229800,457830,45.6200
2025,32,Zacatecas,1712936,149121,372853,55.9800
2026,1,Aguascalientes,1567559,122742,315225,48.6900
2026,2,Baja California,4189285,324642,718318,40.3200
2026,3,Baja California Sur,921734,65760,168923,42.2900
2026,4,Campeche,962014,82258,186584,46.8700
2026,5,Coahuila,3440385,295364,679697,49.3400
2026,6,Colima,771538,76036,131144,44.1100
2026,7,Chiapas,6185469,394420,1554124,61.5800
2026,8,Chihuahua,4087306,357758,749079,45.3900
2026,9,Ciudad de México,9159966,1191964,1162701,40.1100
2026,10,Durango,1939482,170873,401479,51.3000
2026,11,Guanajuato,6590749,537895,1320415,48.9700
2026,12,Guerrero,3606296,334592,800360,58.0000
2026,13,Hidalgo,3334060,309170,620877,46.7400
2026,14,Jalisco,8982027,814256,1713135,48.5300
2026,15,Estado de México,17822420,1551615,3199752,44.2500
2026,16,Michoacán,5089383,464898,1071598,55.1700
2026,17,Morelos,2067472,219232,366368,47.8200
2026,18,Nayarit,1338499,127954,264806,50.9200
2026,19,Nuevo León,6516202,556492,1210491,46.6300
2026,20,Oaxaca,4368997,418357,915994,55.5800
2026,21,Puebla,7149139,577550,1479659,51.9800
2026,22,Querétaro,2700978,206954,496229,43.7200
2026,23,Quintana Roo,2141082,115060,406750,40.6900
2026,24,San Luis Potosí,3002651,285363,582848,50.8000
2026,25,Sinaloa,3208039,322559,588990,48.4200
2026,26,Sonora,3168624,302563,566888,46.1000
2026,27,Tabasco,2472668,203795,493895,48.5600
2026,28,Tamaulipas,3777472,356281,681196,46.3100
2026,29,Tlaxcala,1464515,115229,294283,49.1700
2026,30,Veracruz,8111813,906411,1454891,49.2200
2026,31,Yucatán,2542536,239266,453602,45.1400
2026,32,Zacatecas,1726898,154012,371120,55.6700
2027,1,Aguascalientes,1585410,129180,312279,48.3000
2027,2,Baja California,4244732,344177,712084,40.1400
2027,3,Baja California Sur,939102,69828,169121,42.0800
